director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine,comb
Nicolas Pesce,Andrea Riseborough,Demián Bichir,John Cho,Horror,the grudge,,Andrea Riseborough Demián Bichir John Cho Nicolas Pesce Horror
William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Action,underwater,,Kristen Stewart Vincent Cassel Jessica Henwick William Eubank Action
Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,Comedy,like a boss,,Tiffany Haddish Rose Byrne Salma Hayek Miguel Arteta Comedy
Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,Drama,three christs,,Richard Gere Peter Dinklage Walton Goggins Jon Avnet Drama
Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,Drama,inherit the viper,,Josh Hartnett Margarita Levieva Chandler Riggs Anthony Jerjen Drama
Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,Horror,the sonata,,Freya Tingley Simon Abkarian Rutger Hauer Andrew Desmond Horror
Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,Thriller,the murder of nicole brown simpson,,Mena Suvari Nick Stahl Taryn Manning Daniel Farrands Thriller
Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Thriller,bad boys for life,,Will Smith Martin Lawrence Vanessa Hudgens Adil El Arbi and Bilall Fallah Thriller
Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,Family,dolittle,,Robert Downey Jr. Antonio Banderas Michael Sheen Stephen Gaghan Family
Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,Drama,a fall from grace,,Crystal R. Fox Phylicia Rashad Bresha Webb Tyler Perry Drama
Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Action,the gentlemen,,Matthew McConaughey Charlie Hunnam Henry Golding Guy Ritchie Action
Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Horror,the turning,,Mackenzie Davis Finn Wolfhard Brooklynn Prince Floria Sigismondi Horror
Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,War,the last full measure,,Sebastian Stan Christopher Plummer William Hurt Todd Robinson War
David Bruckner,Rebecca Hall,Sarah Goldberg,Stacy Martin,Horror,the night house,,Rebecca Hall Sarah Goldberg Stacy Martin David Bruckner Horror
Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,Drama,john henry,,Terry Crews Ludacris Jamila Velazquez Will Forbes Drama
Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Action,the rhythm section,,Blake Lively Jude Law Sterling K. Brown Reed Morano Action
Oz Perkins,Sophia Lillis,Sammy Leakey,Charles Babalola,Horror,gretel & hansel,,Sophia Lillis Sammy Leakey Charles Babalola Oz Perkins Horror
Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Action,birds of prey,,Margot Robbie Mary Elizabeth Winstead Jurnee Smollett-Bell Cathy Yan Action
"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",Riley Keough,Jaeden Martell,Lia McHugh,Drama,the lodge,,"Riley Keough Jaeden Martell Lia McHugh Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone Drama"
Tom McCarthy,Winslow Fegley,Ophelia Lovibond,Craig Robinson,Family,timmy failure: mistakes were made,,Winslow Fegley Ophelia Lovibond Craig Robinson Tom McCarthy Family
Jeff Baena,Alison Brie,Debby Ryan,John Paul Reynolds,Drama,horse girl,,Alison Brie Debby Ryan John Paul Reynolds Jeff Baena Drama
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance,to all the boys: p.s. i still love you,,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action,sonic the hedgehog,,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action
Jeff Wadlow,Michael Peña,Maggie Q,Lucy Hale,Adventure,fantasy island,,Michael Peña Maggie Q Lucy Hale Jeff Wadlow Adventure
Stella Meghie,Issa Rae,Lakeith Stanfield,Chelsea Peretti,Drama,the photograph,,Issa Rae Lakeith Stanfield Chelsea Peretti Stella Meghie Drama
"Nat Faxon, Jim Rash",Julia Louis-Dreyfus,Will Ferrell,Miranda Otto,Drama,downhill,,"Julia Louis-Dreyfus Will Ferrell Miranda Otto Nat Faxon, Jim Rash Drama"
Drew Mylrea,Drew Van Acker,Poppy Delevingne,Natasha Bassett,Action,spy intervention,,Drew Van Acker Poppy Delevingne Natasha Bassett Drew Mylrea Action
Lone Scherfig,Andrea Riseborough,Tahar Rahim,Zoe Kazan,Drama,the kindness of strangers,,Andrea Riseborough Tahar Rahim Zoe Kazan Lone Scherfig Drama
Chris Sanders,Harrison Ford,Dan Stevens,Omar Sy,Drama,the call of the wild,,Harrison Ford Dan Stevens Omar Sy Chris Sanders Drama
"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe",Anne Hathaway,Ben Affleck,Rosie Perez,Drama,the last thing he wanted,,"Anne Hathaway Ben Affleck Rosie Perez Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe Drama"
William Brent Bell,Katie Holmes,Owain Yeoman,Christopher Convery,Horror,brahms: the boy ii,,Katie Holmes Owain Yeoman Christopher Convery William Brent Bell Horror
Michael Cristofer,Tye Sheridan,Ana de Armas,Helen Hunt,Crime,the night clerk,,Tye Sheridan Ana de Armas Helen Hunt Michael Cristofer Crime
Chris Henchy,Brian Quinn,Joe Gatto,Sal Vulcano,Comedy,impractical jokers: the movie,,Brian Quinn Joe Gatto Sal Vulcano Chris Henchy Comedy
Leigh Whannell,Elisabeth Moss,Aldis Hodge,Storm Reid,Thriller,the invisible man,,Elisabeth Moss Aldis Hodge Storm Reid Leigh Whannell Thriller
Brett Haley,Elle Fanning,Justice Smith,Alexandra Shipp,Drama,all the bright places,,Elle Fanning Justice Smith Alexandra Shipp Brett Haley Drama
Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Comedy,guns akimbo,,Daniel Radcliffe Samara Weaving Natasha Liu Bordizzo Jason Lei Howden Comedy
Dan Scanlon,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,Animation,onward,,Tom Holland Chris Pratt Julia Louis-Dreyfus Dan Scanlon Animation
Gavin O'Connor,Ben Affleck,Al Madrigal,Michaela Watkins,Drama,the way back,,Ben Affleck Al Madrigal Michaela Watkins Gavin O'Connor Drama
Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,Comedy,spenser confidential,,Mark Wahlberg Winston Duke Alan Arkin Peter Berg Comedy
George Nolfi,Anthony Mackie,Nicholas Hoult,Nia Long,Drama,the banker,,Anthony Mackie Nicholas Hoult Nia Long George Nolfi Drama
Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,Thriller,the burnt orange heresy,,Claes Bang Elizabeth Debicki Mick Jagger Giuseppe Capotondi Thriller
Carlo Mirabella-Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,Drama,swallow,,Haley Bennett Austin Stowell Elizabeth Marvel Carlo Mirabella-Davis Drama
Kelly Reichardt,John Magaro,Orion Hall,René Auberjonois,Drama,first cow,,John Magaro Orion Hall René Auberjonois Kelly Reichardt Drama
Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,Action,bloodshot,,Vin Diesel Eiza González Sam Heughan Dave S. F. Wilson Action
Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,Action,the hunt,,Betty Gilpin Ike Barinholtz Amy Madigan Craig Zobel Action
Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,Music,i still believe,,KJ Apa Britt Robertson Shania Twain Erwin Brothers Music
Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,Drama,lost girls,,Amy Ryan Thomasin McKenzie Lola Kirke Liz Garbus Drama
Julia Hart,Grace VanderWaal,Graham Verchere,Giancarlo Esposito,Comedy,stargirl,,Grace VanderWaal Graham Verchere Giancarlo Esposito Julia Hart Comedy
Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,Drama,the roads not taken,,Javier Bardem Elle Fanning Laura Linney Sally Potter Drama
Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,Drama,never rarely sometimes always,,Sidney Flanigan Talia Ryder Theodore Pellerin Eliza Hittman Drama
Jason Orley,Pete Davidson,Griffin Gluck,Jon Cryer,Comedy,big time adolescence,,Pete Davidson Griffin Gluck Jon Cryer Jason Orley Comedy
Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Drama,lost transmissions,,Simon Pegg Juno Temple Alexandra Daddario Katharine O'Brien Drama
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,Drama,resistance,,Jesse Eisenberg Ed Harris Clémence Poésy Jonathan Jakubowicz Drama
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Drama,uncorked,,Mamoudou Athie Courtney B. Vance Niecy Nash Prentice Penny Drama
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Comedy,coffee & kareem,,Ed Helms Taraji P. Henson Betty Gilpin Michael Dowse Comedy
Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,Animation,trolls world tour,,Anna Kendrick Justin Timberlake Rachel Bloom Walt Dohrn Animation
Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,Comedy,love wedding repeat,,Olivia Munn Sam Claflin Freida Pinto Dean Craig Comedy
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Family,the main event,,Seth Carr Tichina Arnold Ken Marino Jay Karas Family
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Horror,we summon the darkness,,Alexandra Daddario Keean Johnson Logan Miller Marc Meyers Horror
Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,Romance,the lost husband,,Leslie Bibb Josh Duhamel Nora Dunn Vicky Wight Romance
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Horror,corona zombies,,Cody Renee Cameron Russell Coker Robin Sydney Charles Band Horror
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Drama,sergio,,Wagner Moura Ana de Armas Garret Dillahunt Greg Barker Drama
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,Animation,the willoughbys,,Will Forte Maya Rudolph Alessia Cara Kris Pearn Animation
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Drama,extraction,,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave Drama
Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,Drama,braking for whales,,Tom Felton Tammin Sursok Wendi McLendon-Covey Sean McEwen Drama
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Drama,bad education,,Hugh Jackman Allison Janney Geraldine Viswanathan Cory Finley Drama
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,dangerous lies,,Camila Mendes Jessie T. Usher Jamie Chung Michael Scott Thriller
